Numero Ticket;Tipo de caso;Categoria;Tipo;Item;Resumen;Matri;Ubicacion;Numero Telefonico;Indicador Vip;Region;Service Desk;Modo de reporte;Estado;Fecha Creacion;Fecha Termino;Fecha Cierre;Prioridad;Grupos asignado;Grupo creador
WO0000004558506;R;MOBILIARIO;LUMINARIAS;FOCO FLOURESCENTES;CAMBIAR;S41407;IMPERIAL - 255001;###;1;NULL;Zona Centro;Web HD;Terminado;2022-10-23;2022-11-08;;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004557021;R;MOBILIARIO;IMAGEN;STICKER;REPONER;S07191;HUAYRUROPATA - 285008;###;1;NULL;Zona Norte;Web HD;Terminado;2022-10-23;2022-11-13;;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004556477;R;MOBILIARIO;EQUIPO;GRUPO ELECTROGENO;REGARGAR COMBUSTIBLE;S41400;AYACUCHO - 220000;###;1;NULL;Zona Centro;Web HD;Terminado;2022-10-23;2022-11-13;;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004555958;R;MOBILIARIO;EDIFICIO;PARED;RESANAR;U22672;CAÑETE - 255000;###;1;NULL;Zona Centro;Web HD;Terminado;2022-10-23;2022-11-08;;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004558337;R;MOBILIARIO;IMAGEN;IMANTADO;CONFECCIONAR;NULL;IMPERIAL - 255001;##;1;NULL;Zona Centro;Web HD;Rechazado;2022-10-23;2022-10-25;;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004556775;R;MOBILIARIO;IMAGEN;IMANTADO;CONFECCIONAR;S17977;EL PEDREGAL - 251000;###;1;NULL;Zona Norte;Web HD;Cerrado;2022-10-23;2022-10-30;2022-10-30;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004555194;R;MOBILIARIO;SALAS DE REUNION;SILLAS;ORDENAR;S34564;AREQUIPA - 215000;###;1;NULL;Zona Norte;Web HD;Cerrado;2022-10-23;2022-10-24;2022-10-24;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004557276;R;MOBILIARIO;LUMINARIAS;FOCO DICROICOS;CAMBIAR;S45039;IMPERIAL - 255001;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-23;2022-11-05;2022-11-05;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004557098;R;MOBILIARIO;EDIFICIO;PARED;RESANAR;NULL;LA ENSENADA - 191149;##;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-23;2022-10-28;2022-10-28;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004557927;R;MOBILIARIO;CERRAJERIA;CREDENZA CERRADURA;APERTURAR;S93065;AREQUIPA - 215000;##;1;NULL;Zona Norte;Web HD;Cerrado;2022-10-23;2022-10-24;2022-10-24;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
